cohort,domain,gate,budget,arm,seeds,unsafe_recall_all_mean,unsafe_recall_all_sd,unsafe_recall_all_min,unsafe_recall_all_max,FN_mean,FN_sd,FN_min,FN_max,FPR_all_mean,FPR_all_sd,FPR_all_min,FPR_all_max,FP_mean,FP_sd,FP_min,FP_max,correct_over_N_mean,correct_over_N_sd,correct_over_N_min,correct_over_N_max,coverage_mean,coverage_sd,coverage_min,coverage_max,actual_call_rate_mean,actual_call_rate_sd,actual_call_rate_min,actual_call_rate_max,abstain_model_mean,abstain_model_sd,abstain_model_min,abstain_model_max,abstain_technical_mean,abstain_technical_sd,abstain_technical_min,abstain_technical_max,abstain_input_overflow_mean,abstain_input_overflow_sd,abstain_input_overflow_min,abstain_input_overflow_max,group_macro_unsafe_recall_all_mean,group_macro_unsafe_recall_all_sd,group_macro_unsafe_recall_all_min,group_macro_unsafe_recall_all_max,group_macro_FPR_all_mean,group_macro_FPR_all_sd,group_macro_FPR_all_min,group_macro_FPR_all_max,S_fit_wrong_to_correct_mean,S_fit_wrong_to_correct_sd,S_fit_wrong_to_correct_min,S_fit_wrong_to_correct_max,S_fit_correct_to_wrong_mean,S_fit_correct_to_wrong_sd,S_fit_correct_to_wrong_min,S_fit_correct_to_wrong_max,S_fit_correct_to_abstain_mean,S_fit_correct_to_abstain_sd,S_fit_correct_to_abstain_min,S_fit_correct_to_abstain_max,S_overflow_recovery_correct_mean,S_overflow_recovery_correct_sd,S_overflow_recovery_correct_min,S_overflow_recovery_correct_max,worst_recall_seed
old_test_800,slack,G_uncertainty,0.1,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.22222222222222224,0.20971762320196527,0.0,0.4166666666666667,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,G_uncertainty,0.1,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.038461538461538464,0.03330866937632457,0.019230769230769232,0.07692307692307693,2,1.7320508075688772,1,4,0.9761904761904762,0.02061965247105812,0.9523809523809523,0.9880952380952381,1.0,0.0,1.0,1.0,0.21031746031746032,0.0299596604574236,0.17857142857142858,0.23809523809523808,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.039351851851851846,0.032075014954979206,0.020833333333333332,0.07638888888888888,1,1.7320508075688772,0,3,0.3333333333333333,0.5773502691896257,0,1,0,0.0,0,0,13,0.0,13,13,42
old_test_800,combined,G_random,0.1,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.04289617486338798,0.02376106841666327,0.01639344262295082,0.06229508196721312,2.6166666666666667,1.4494251734164594,1,3.8,0.9727430555555556,0.01509817888975479,0.9604166666666667,0.9895833333333334,1.0,0.0,1.0,1.0,0.21180555555555555,0.026214702900245662,0.1875,0.23958333333333334,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.04351851851851852,0.023006748784388246,0.017857142857142856,0.0623015873015873,0.13333333333333333,0.15275252316519466,0,0.3,0.08333333333333333,0.07637626158259733,0,0.15,0,0.0,0,0,13,0.0,13,13,42
old_test_800,slack,G_random,0.1,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.22222222222222224,0.20971762320196527,0.0,0.4166666666666667,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,G_random,0.1,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.05032051282051282,0.027873561027239604,0.019230769230769232,0.07307692307692308,2.6166666666666667,1.4494251734164594,1,3.8,0.9688492063492063,0.01725506158829123,0.9547619047619047,0.9880952380952381,1.0,0.0,1.0,1.0,0.21031746031746032,0.0299596604574236,0.17857142857142858,0.23809523809523808,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.050771604938271604,0.02684120691511962,0.020833333333333332,0.07268518518518519,0.13333333333333333,0.15275252316519466,0,0.3,0.08333333333333333,0.07637626158259733,0,0.15,0,0.0,0,0,13,0.0,13,13,42
old_test_800,combined,G_uncertainty,0.25,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0273224043715847,0.01892951702261068,0.01639344262295082,0.04918032786885246,1.6666666666666667,1.1547005383792515,1,3,0.982638888888889,0.012028130608117225,0.96875,0.9895833333333334,1.0,0.0,1.0,1.0,0.3854166666666667,0.03608439182435161,0.34375,0.40625,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.028439153439153438,0.018328579974273833,0.017857142857142856,0.0496031746031746,1.6666666666666667,1.5275252316519468,0,3,0.6666666666666666,1.1547005383792515,0,2,0,0.0,0,0,13,0.0,13,13,42
old_test_800,slack,G_uncertainty,0.25,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3055555555555556,0.2545875386086578,0.08333333333333333,0.5833333333333334,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
old_test_800,workspace,G_uncertainty,0.25,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.032051282051282055,0.022205779584216375,0.019230769230769232,0.057692307692307696,1.6666666666666667,1.1547005383792515,1,3,0.9801587301587302,0.01374643498070539,0.9642857142857143,0.9880952380952381,1.0,0.0,1.0,1.0,0.3968253968253968,0.07653691080153138,0.30952380952380953,0.4523809523809524,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.033179012345679014,0.021383343303319473,0.020833333333333332,0.05787037037037037,1.6666666666666667,1.5275252316519468,0,3,0.6666666666666666,1.1547005383792515,0,2,0,0.0,0,0,13,0.0,13,13,42
old_test_800,combined,G_random,0.25,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.04562841530054645,0.0169244597442061,0.02622950819672131,0.05737704918032787,2.783333333333333,1.032392044396572,1.6,3.5,0.9710069444444445,0.010754083795797663,0.9635416666666666,0.9833333333333334,1.0,0.0,1.0,1.0,0.3854166666666667,0.03608439182435161,0.34375,0.40625,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.046164021164021164,0.01638717530788209,0.02738095238095238,0.057539682539682536,0.4666666666666667,0.5686240703077328,0,1.1,0.5833333333333334,0.02886751345948125,0.55,0.6,0,0.0,0,0,13,0.0,13,13,42
old_test_800,slack,G_random,0.25,L_direct,"42,43,44",1.0,0.0,1.0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3055555555555556,0.2545875386086578,0.08333333333333333,0.5833333333333334,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,42
