cohort,domain,seed,arm,budget,repetitions,correct_mean,correct_sd,correct_over_N_mean,correct_over_N_sd,binary_net_correction_mean,binary_net_correction_sd,actual_call_rate_mean,actual_call_rate_sd,incremental_correct_vs_overflow_mean,incremental_correct_vs_overflow_sd,group_macro_correct_over_N_mean,group_macro_correct_over_N_sd
transfer_2048,travel,43,L_direct,0.5,20,169.4,1.930366749991743,0.9570621468926553,0.010906026836111561,3.4,1.930366749991743,0.6949152542372882,0.0,3.4,1.930366749991743,0.9419057975326373,0.01757166892635939
transfer_2048,combined,43,L_relation,0.1,20,239.15,1.8715318802914815,0.9058712121212121,0.007089135910195,4.65,2.007223796297028,0.2765151515151515,0.0,4.15,1.8715318802914815,0.9090675612214784,0.010360969670170996
transfer_2048,banking,43,L_relation,0.1,20,73.3,1.5252264715358452,0.8425287356321839,0.017531338753285566,3.8,1.6415653633362466,0.4942528735632184,0.0,3.3,1.5252264715358452,0.8800126262626262,0.019550958120515615
transfer_2048,travel,43,L_relation,0.1,20,165.85,0.9880869341680844,0.9370056497175141,0.005582412057446811,0.85,0.9880869341680844,0.1694915254237288,0.0,0.85,0.9880869341680844,0.9381224961803305,0.006414532176658167
transfer_2048,combined,43,L_relation,0.25,20,239.45,2.0124611797498106,0.9070075757575757,0.007622959014203822,5,2.102629932151387,0.30303030303030304,0.0,4.45,2.0124611797498106,0.9098577925492164,0.01131666423828547
transfer_2048,banking,43,L_relation,0.25,20,73.6,1.759186414825121,0.8459770114942529,0.020220533503737016,4.15,1.7851728502481652,0.5402298850574713,0.0,3.6,1.759186414825121,0.8819739057239058,0.022063597475089253
transfer_2048,travel,43,L_relation,0.25,20,165.85,0.7451598203705946,0.9370056497175141,0.004209942487969464,0.85,0.7451598203705946,0.1864406779661017,0.0,0.85,0.7451598203705946,0.9377416793745269,0.005372415446300702
transfer_2048,combined,43,L_relation,0.5,20,243.9,2.653696528082647,0.9238636363636363,0.010051880788191836,9.45,2.7429335045761345,0.6628787878787878,0.0,8.9,2.653696528082647,0.9187754174312286,0.013912060034073746
transfer_2048,banking,43,L_relation,0.5,20,73.85,1.8715318802914815,0.8488505747126437,0.021511860693005546,4.4,1.9029063643750177,0.5977011494252874,0.0,3.85,1.8715318802914815,0.8826893939393939,0.02319759793185154
transfer_2048,travel,43,L_relation,0.5,20,170.05,1.3168942730211068,0.9607344632768362,0.00744008063853733,5.05,1.3168942730211068,0.6949152542372882,0.0,5.05,1.3168942730211068,0.9548614409230632,0.009601950240629988
transfer_2048,combined,44,L_direct,0.1,20,243,1.6222142113076254,0.9204545454545454,0.006144750800407666,2,1.6222142113076254,0.26136363636363635,0.0,2,1.6222142113076254,0.9203162204845721,0.01152369837259417
transfer_2048,banking,44,L_direct,0.1,20,75.6,1.6670175069329813,0.8689655172413793,0.019161120769344633,1.6,1.6670175069329813,0.4482758620689655,0.0,1.6,1.6670175069329813,0.8946717171717171,0.021341751711938257
transfer_2048,travel,44,L_direct,0.1,20,167.4,0.8825799501580878,0.9457627118644067,0.004986327402023111,0.4,0.8825799501580878,0.1694915254237288,0.0,0.4,0.8825799501580878,0.945960723797427,0.008385118389831117
transfer_2048,combined,44,L_direct,0.25,20,243.1,2.100125309544522,0.9208333333333333,0.00795502011191106,2.1,2.100125309544522,0.29924242424242425,0.0,2.1,2.100125309544522,0.9192938637601271,0.012958110372637374
transfer_2048,banking,44,L_direct,0.25,20,75.4,1.9029063643750177,0.8666666666666667,0.021872486946839305,1.4,1.9029063643750177,0.5172413793103449,0.0,1.4,1.9029063643750177,0.8921927609427609,0.024236437642559127
transfer_2048,travel,44,L_direct,0.25,20,167.7,1.0809352675491621,0.947457627118644,0.006106978912707136,0.7,1.0809352675491621,0.192090395480226,0.0,0.7,1.0809352675491621,0.9463949665774932,0.009455281402143441
transfer_2048,combined,44,L_direct,0.5,20,244.55,2.394621165511528,0.9263257575757575,0.009070534717846709,3.55,2.394621165511528,0.4962121212121212,0.0,3.55,2.394621165511528,0.9182271999377389,0.01281647952787411
transfer_2048,banking,44,L_direct,0.5,20,75.4,1.729009451741235,0.8666666666666667,0.019873671859094676,1.4,1.729009451741235,0.5977011494252874,0.0,1.4,1.729009451741235,0.8892340067340068,0.02165192300718129
transfer_2048,travel,44,L_direct,0.5,20,169.15,1.7252002172135512,0.9556497175141243,0.009746893882562443,2.15,1.7252002172135512,0.4463276836158192,0.0,2.15,1.7252002172135512,0.9472203931414712,0.014638036979386723
transfer_2048,combined,44,L_relation,0.1,20,242.15,1.268027892769755,0.9172348484848485,0.0048031359574611885,2.9,1.3337718577107003,0.26136363636363635,0.0,2.15,1.268027892769755,0.9190162644020073,0.009412020391198083
transfer_2048,banking,44,L_relation,0.1,20,75.6,1.4290224851827542,0.8689655172413793,0.01642554580669835,2.35,1.460893742308382,0.4482758620689655,0.0,1.6,1.4290224851827542,0.8980050505050505,0.018552320816511682
transfer_2048,travel,44,L_relation,0.1,20,166.55,0.6863327411532597,0.9409604519774011,0.0038775861082104967,0.55,0.6863327411532597,0.1694915254237288,0.0,0.55,0.6863327411532597,0.940027478298964,0.005440817917962907
transfer_2048,combined,44,L_relation,0.25,20,242.3,1.625455401774498,0.9178030303030302,0.006157028037024608,3.3,1.9221698265515623,0.29924242424242425,0.0,2.3,1.625455401774498,0.9186420558257105,0.00917356979225489
transfer_2048,banking,44,L_relation,0.25,20,75.45,1.637552731171861,0.8672413793103448,0.018822445185883482,2.45,1.8488972531299783,0.5172413793103449,0.0,1.45,1.637552731171861,0.8968223905723905,0.019106190035485776
transfer_2048,travel,44,L_relation,0.25,20,166.85,0.9333020044867295,0.9426553672316385,0.005272892680715997,0.85,0.9333020044867295,0.192090395480226,0.0,0.85,0.9333020044867295,0.9404617210790304,0.00715841218765653
transfer_2048,combined,44,L_relation,0.5,20,244.6,1.9841477024816367,0.9265151515151515,0.0075157109942486176,5.7,2.202868942753374,0.4962121212121212,0.0,4.6,1.9841477024816367,0.9234087253366556,0.009404981791910882
transfer_2048,banking,44,L_relation,0.5,20,75.55,1.5719582155957414,0.8683908045977011,0.01806848523673268,2.65,1.6311119875071343,0.5977011494252874,0.0,1.55,1.5719582155957414,0.8960858585858585,0.01811354386388459
transfer_2048,travel,44,L_relation,0.5,20,169.05,1.4680814547887786,0.9550847457627119,0.008294245507281245,3.05,1.4680814547887786,0.4463276836158192,0.0,3.05,1.4680814547887786,0.9507315920874527,0.009902041332326245
