cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,incremental_calls_vs_overflow,incremental_correct_vs_overflow
old_test_800,42,L_direct,G_random,0.25,2,combined,94,0,35,61,35,59,2,0,0,0,39,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.40625,39,0.40625,69407,2616,0.978806907378336,-1,25,-1
old_test_800,42,L_direct,G_random,0.25,3,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,78632,2715,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,4,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,73992,2650,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,5,combined,94,0,35,61,35,59,2,0,0,0,39,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.40625,39,0.40625,75233,2701,0.978806907378336,-1,25,-1
old_test_800,42,L_direct,G_random,0.25,6,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,69577,2643,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,7,combined,94,0,35,61,35,59,2,0,0,0,39,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.40625,39,0.40625,70446,2706,0.978806907378336,-1,25,-1
old_test_800,42,L_direct,G_random,0.25,8,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,79947,2729,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,9,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,79123,2687,0.989010989010989,0,25,0
old_test_800,42,L_direct,G_random,0.25,10,combined,94,0,35,61,35,59,2,0,0,0,39,82,14,0,1,0,0,0,81,13,1,0,0,0,0,0,0,0,96,7,0.9791666666666666,1.0,1.0,1.0,0.03278688524590164,0.03278688524590164,0.40625,39,0.40625,74081,2676,0.978806907378336,-1,25,-1
old_test_800,42,L_direct,G_random,0.25,11,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,73883,2652,0.989010989010989,0,25,0
